station_id,elev_min,elev_max,elev_mean,elev_range,mean_slope_pct,upsdist,strdensity,strahler,elongratio,relief,reliefratio,mrvbf_prop_0,mrvbf_prop_1,mrvbf_prop_2,mrvbf_prop_3,mrvbf_prop_4,mrvbf_prop_5,mrvbf_prop_6,mrvbf_prop_7,mrvbf_prop_8,mrvbf_prop_9,confinement
424002,120,409.9330139,215.1641083,289.9330139,1.19,501.7458801,0.5030375,6,0.3401438,0.3445905,0.0005923,0.1458,0.0051,0.0488,0.0921,0.0732,0.0967,0.1206,0.1055,0.1785,0.1339,0
424201A,145,409.9330139,224.6870117,264.9330139,1.27,392.9855042,0.5176715,6,0.4135568,0.3218188,0.0006951,0.1581,0.0053,0.0528,0.1011,0.0784,0.1071,0.1303,0.1313,0.1921,0.0434,0.14
102101A,70,662.5751343,227.6283417,592.5751343,9.8,52.3643723,1.011197,4,0.5500286,0.2934358,0.0117557,0.53,0.0655,0.1309,0.1791,0.037,0.0383,0.0194,0,0,0,0.94
104001A,60,730.8563843,243.4502716,670.8563843,8.63,59.9369469,1.0223776,4,0.4093626,0.28503,0.0113739,0.5304,0.0731,0.1507,0.2266,0.0165,0.0027,0,0,0,0,0.52
105101A,83,1202.70044,278.2432861,1119.70044,16.25,146.6454926,0.9691585,5,0.370218,0.1846609,0.0077318,0.6501,0.076,0.1068,0.1057,0.0317,0.0232,0.0066,0,0,0,1
105102A,86,710.1890259,253.2543945,624.1890259,14.47,75.556839,0.9689639,5,0.5427333,0.2637357,0.0082138,0.6115,0.0599,0.1094,0.1417,0.0391,0.0344,0.004,0,0,0,1
105105A,152,936.5404663,337.1949158,784.5404663,21.54,51.1596336,0.9421514,4,0.3832088,0.2513477,0.0156484,0.733,0.0627,0.0695,0.088,0.0257,0.021,0.0001,0,0,0,0.81
107001B,29,488.7712402,179.3875275,459.7712402,13.28,35.1955032,0.9846603,4,0.5907928,0.3252472,0.0130276,0.6326,0.0916,0.1548,0.1122,0.0075,0.0013,0,0,0,0,0.5
108002A,24,1360.704712,458.9734192,1336.704712,21.96,91.1524506,1.0253593,5,0.3744674,0.3256859,0.0146706,0.7848,0.1044,0.0826,0.028,0.0001,0,0,0,0,0,1
108003A,150,1243.660156,400.1447449,1093.660156,17.82,31.7886257,0.9909356,4,0.5781103,0.235713,0.0347188,0.692,0.077,0.108,0.1157,0.0071,0.0004,0,0,0,0,1
112002A,72,338.3979187,172.8588867,266.3979187,10.25,15.2351446,1.0342683,2,0.3058485,0.4023502,0.0181806,0.6079,0.1335,0.2041,0.0545,0,0,0,0,0,0,1
112102A,40,882.8218994,301.7047424,842.8218994,30.24,15.5884457,0.922744,3,0.6404506,0.3144951,0.0543814,0.8563,0.0643,0.0464,0.0286,0.0044,0,0,0,0,0,1
113004A,167,1166.930542,682.3875122,999.930542,24.39,20.7974758,1.137627,3,0.5327497,0.5339341,0.049989,0.8189,0.1017,0.0673,0.0121,0,0,0,0,0,0,1
116006B,22,1379.570435,660.2351074,1357.570435,9.8,284.5332336,0.860018,6,0.3437095,0.4712728,0.0047815,0.5269,0.0669,0.1427,0.1531,0.0378,0.0381,0.0291,0.0052,0,0,0.72
116010A,550,1028.451904,673.9978638,478.451904,13.99,33.5751953,1.0013022,4,0.5044311,0.2713077,0.0144876,0.6708,0.1091,0.1364,0.0814,0.0023,0.0001,0,0,0,0,1
116011A,901,1248.252075,1023.48053,347.252075,10.59,23.8996811,0.9886869,3,0.4517418,0.4213327,0.0162525,0.6137,0.1193,0.1664,0.0991,0.0014,0,0,0,0,0,1
116012A,591,1007.289612,698.4214478,416.289612,10.08,53.5409508,0.8288844,4,0.4046903,0.273173,0.007937,0.6032,0.1094,0.1617,0.1109,0.012,0.0028,0,0,0,0,0.82
